O  OXXOOX,9.000000
 OXX  XOO,-2.000000
  X    OX,-4.000000
X OXOOOX ,9.000000
XOOOXXO  ,-1.000000
OX OXOOO ,9.000000
 X    X  ,-5.000000
XXO O   X,1.000000
XXX OXX X,-9.000000
XXO O   O,5.000000
O XOXXX X,-9.000000
O X  O   ,2.000000
O  OXXOOO,9.000000
OXXOXOX  ,-9.000000
XXX OXX O,-9.000000
XO XOOOX ,3.000000
 OXX  XOX,-6.000000
XOXXO O X,0.000000
O XOXXX O,-9.000000
XXX OXX  ,-9.000000
OXOX X XO,-1.000000
XX OXO O ,-3.000000
X  OXX OO,0.000000
XOXXO O O,4.000000
   O X   ,0.000000
X  OXX OX,-9.000000
OXOX X XX,-5.000000
 OO  OOX ,8.000000
XX  OXOOO,9.000000
XXXOO X  ,-9.000000
OOXX OX  ,-1.000000
XX  OXOOX,-2.000000
OOX OO XX,1.000000
XX  X XOX,-9.000000
X XO  OXX,-6.000000
XXO O    ,3.000000
OX XO XOO,9.000000
XX  X XOO,-6.000000
 XXOOXOOX,-9.000000
 OO  OOXO,9.000000
  X    O ,-1.000000
OX XO XOX,-1.000000
OX OXOOOX,9.000000
 XOOOO XO,9.000000
 XO X  X ,-9.000000
X XO  OXO,-2.000000
OOX OO XO,9.000000
OX OXOOOO,9.000000
XX OXO OO,1.000000
OOXXXOO O,2.000000
XX OXO OX,-9.000000
XOXXXO  X,-9.000000
   O X  X,-3.000000
XX  OXOO ,1.000000
 X    X O,-2.000000
 XOOOO XX,9.000000
  X XO XX,-9.000000
XOXXXO  O,-3.000000
 XXOX XOO,-9.000000
 X    X X,-8.000000
XX OOOXX ,9.000000
OOXXXOO X,0.000000
X  OXX O ,-4.000000
XX  X XO ,-9.000000
 XXOX XOX,-9.000000
 OO  OOXX,5.000000
O  OXXOO ,9.000000
  X    OO,2.000000
 XXOOXOOO,9.000000
   O X  O,3.000000
OO  XX  X,-3.000000
O O XX  O,1.000000
XXO  XXXO,-5.000000
OOOXXXX O,9.000000
XXO  XXXX,-9.000000
 XX XXXOO,-9.000000
OXXXOX  X,-9.000000
 OX OOO  ,7.000000
OO  XX  O,1.000000
XXX  OOX ,-9.000000
 XXOOXOX ,-1.000000
OX XX  O ,-2.000000
OX XO XO ,2.000000
 OO OXX  ,3.000000
O O XX  X,-1.000000
XX OOOXXO,9.000000
 XXOX XO ,-9.000000
OO X OOOX,5.000000
O OX OOOO,9.000000
OX O OXO ,3.000000
OX XX  OO,0.000000
OXX XXO O,0.000000
XX OOOXXX,9.000000
XXX  OOXX,-9.000000
O OX OOOX,5.000000
