Depth,Simulation Run,Time,Board Number
6,1,0.602829,1
6,2,0.489524,1
6,3,0.502577,1
6,4,0.516136,1
6,5,0.466425,1
6,6,0.468432,1
6,7,0.466287,1
6,8,0.466272,1
6,9,0.465260,1
6,10,0.466710,1
6,11,0.471260,1
6,12,0.467750,1
6,13,0.465342,1
6,14,0.464423,1
6,15,0.468726,1
6,16,0.463738,1
6,17,0.465186,1
6,18,0.463842,1
6,19,0.470586,1
6,20,0.482042,1
6,21,0.485073,1
6,22,0.489175,1
6,23,0.483641,1
6,24,0.500857,1
6,25,0.491474,1
6,26,0.485205,1
6,27,0.475114,1
6,28,0.475308,1
6,29,0.540246,1
6,30,0.469826,1
6,1,0.506441,2
6,2,0.508382,2
6,3,0.473805,2
6,4,0.477269,2
6,5,0.482976,2
6,6,0.570806,2
6,7,0.484645,2
6,8,0.486885,2
6,9,0.480217,2
6,10,0.467621,2
6,11,0.500083,2
6,12,0.495050,2
6,13,0.495988,2
6,14,0.488059,2
6,15,0.486612,2
6,16,0.478320,2
6,17,0.473565,2
6,18,0.637185,2
6,19,0.532516,2
6,20,0.465515,2
6,21,0.470870,2
6,22,0.468670,2
6,23,0.479434,2
6,24,0.496673,2
6,25,0.548756,2
6,26,0.510749,2
6,27,0.498815,2
6,28,0.491836,2
6,29,0.483716,2
6,30,0.754692,2
6,1,0.486796,3
6,2,0.539510,3
6,3,0.630303,3
6,4,0.493136,3
6,5,0.533611,3
6,6,0.485166,3
6,7,0.493693,3
6,8,0.545637,3
6,9,0.493302,3
6,10,0.514451,3
6,11,0.513792,3
6,12,0.515331,3
6,13,0.538155,3
6,14,0.616526,3
6,15,0.512185,3
6,16,0.494113,3
6,17,0.483966,3
6,18,0.503393,3
6,19,0.525010,3
6,20,0.522224,3
6,21,0.485735,3
6,22,0.483718,3
6,23,0.530195,3
6,24,0.559929,3
6,25,0.871874,3
6,26,0.526405,3
6,27,0.501620,3
6,28,0.498325,3
6,29,0.488379,3
6,30,0.487354,3
6,1,0.523407,4
6,2,0.528297,4
6,3,0.784648,4
6,4,0.569180,4
6,5,0.500443,4
6,6,0.501999,4
6,7,0.474403,4
6,8,0.483168,4
6,9,0.482854,4
6,10,0.483088,4
6,11,0.488462,4
6,12,0.488217,4
6,13,0.508672,4
6,14,0.534667,4
6,15,0.522124,4
6,16,0.474973,4
6,17,0.478683,4
6,18,0.508449,4
6,19,0.523862,4
6,20,0.511071,4
6,21,0.482374,4
6,22,0.487241,4
6,23,0.496797,4
6,24,0.491074,4
6,25,0.512653,4
6,26,0.476361,4
6,27,0.488396,4
6,28,0.478766,4
6,29,0.477393,4
6,30,0.478206,4
6,1,0.789155,5
6,2,0.752174,5
6,3,0.752010,5
6,4,0.770743,5
6,5,0.744937,5
6,6,0.749877,5
6,7,0.748332,5
6,8,0.746619,5
6,9,0.751658,5
6,10,0.746577,5
6,11,0.746278,5
6,12,0.749222,5
6,13,0.748355,5
6,14,0.754078,5
6,15,0.757125,5
6,16,0.745581,5
6,17,0.746219,5
6,18,0.753218,5
6,19,0.797991,5
6,20,0.746419,5
6,21,0.751219,5
6,22,0.757930,5
6,23,0.747631,5
6,24,0.746882,5
6,25,0.746828,5
6,26,0.747707,5
6,27,0.754426,5
6,28,0.752485,5
6,29,0.753692,5
6,30,0.756876,5
6,1,0.437980,6
6,2,0.438228,6
6,3,0.439777,6
6,4,0.439599,6
6,5,0.438825,6
6,6,0.438056,6
6,7,0.437598,6
6,8,0.452466,6
6,9,0.438702,6
6,10,0.438457,6
6,11,0.438373,6
6,12,0.439324,6
6,13,0.454816,6
6,14,0.502599,6
6,15,0.454217,6
6,16,0.434025,6
6,17,0.440397,6
6,18,0.434249,6
6,19,0.441063,6
6,20,0.444137,6
6,21,0.439376,6
6,22,0.438175,6
6,23,0.438100,6
6,24,0.437328,6
6,25,0.446134,6
6,26,0.440017,6
6,27,0.441203,6
6,28,0.440159,6
6,29,0.438996,6
6,30,0.436872,6
6,1,0.440803,7
6,2,0.433974,7
6,3,0.434404,7
6,4,0.435015,7
6,5,0.435967,7
6,6,0.438208,7
6,7,0.436615,7
6,8,0.440514,7
6,9,0.434966,7
6,10,0.465874,7
6,11,0.435800,7
6,12,0.443840,7
6,13,0.441087,7
6,14,0.436354,7
6,15,0.435129,7
6,16,0.440137,7
6,17,0.437018,7
6,18,0.436235,7
6,19,0.437784,7
6,20,0.437730,7
6,21,0.434493,7
6,22,0.435542,7
6,23,0.434717,7
6,24,0.440394,7
6,25,0.434879,7
6,26,0.435653,7
6,27,0.434636,7
6,28,0.434771,7
6,29,0.439917,7
6,30,0.435342,7
6,1,0.441382,8
6,2,0.437339,8
6,3,0.437911,8
6,4,0.436716,8
6,5,0.442845,8
6,6,0.436937,8
6,7,0.438199,8
6,8,0.436778,8
6,9,0.438658,8
6,10,0.436869,8
6,11,0.447627,8
6,12,0.467408,8
6,13,0.450952,8
6,14,0.436670,8
6,15,0.437392,8
6,16,0.439344,8
6,17,0.440698,8
6,18,0.436452,8
6,19,0.440948,8
6,20,0.437162,8
6,21,0.442790,8
6,22,0.489970,8
6,23,0.437598,8
6,24,0.434533,8
6,25,0.437658,8
6,26,0.438556,8
6,27,0.450336,8
6,28,0.440832,8
6,29,0.439444,8
6,30,0.436144,8
6,1,0.433402,9
6,2,0.433934,9
6,3,0.432355,9
6,4,0.434289,9
6,5,0.433295,9
6,6,0.433910,9
6,7,0.432360,9
6,8,0.435336,9
6,9,0.439718,9
6,10,0.432609,9
6,11,0.433292,9
6,12,0.432765,9
6,13,0.432488,9
6,14,0.432922,9
6,15,0.434177,9
6,16,0.431987,9
6,17,0.434005,9
6,18,0.432732,9
6,19,0.435693,9
6,20,0.434110,9
6,21,0.442172,9
6,22,0.432725,9
6,23,0.432810,9
6,24,0.432279,9
6,25,0.432254,9
6,26,0.432790,9
6,27,0.496724,9
6,28,0.435793,9
6,29,0.464249,9
6,30,0.432551,9
6,1,0.461891,10
6,2,0.449153,10
6,3,0.440619,10
6,4,0.437082,10
6,5,0.438822,10
6,6,0.437831,10
6,7,0.438982,10
6,8,0.440882,10
6,9,0.440176,10
6,10,0.449910,10
6,11,0.480265,10
6,12,0.443693,10
6,13,0.443663,10
6,14,0.437494,10
6,15,0.437820,10
6,16,0.438547,10
6,17,0.438784,10
6,18,0.438599,10
6,19,0.445719,10
6,20,0.438489,10
6,21,0.444681,10
6,22,0.438096,10
6,23,0.437631,10
6,24,0.438409,10
6,25,0.442120,10
6,26,0.439363,10
6,27,0.441623,10
6,28,0.446251,10
6,29,0.460660,10
6,30,0.439047,10
6,1,0.483447,11
6,2,0.477917,11
6,3,0.475472,11
6,4,0.474916,11
6,5,0.477514,11
6,6,0.502356,11
6,7,0.471443,11
6,8,0.482268,11
6,9,0.472340,11
6,10,0.474058,11
6,11,0.476949,11
6,12,0.475495,11
6,13,0.473025,11
6,14,0.475513,11
6,15,0.474891,11
6,16,0.481060,11
6,17,0.476009,11
