Depth,Simulation Run,Time,Board Number
2,1,0.001481,1
2,2,0.000777,1
2,3,0.000462,1
2,4,0.000412,1
2,5,0.000386,1
2,6,0.000360,1
2,7,0.000492,1
2,8,0.000326,1
2,9,0.000349,1
2,10,0.000315,1
2,11,0.000439,1
2,12,0.000281,1
2,13,0.000262,1
2,14,0.000503,1
2,15,0.000892,1
2,16,0.000420,1
2,17,0.000390,1
2,18,0.000260,1
2,19,0.000262,1
2,20,0.000839,1
2,21,0.000216,1
2,22,0.000266,1
2,23,0.000162,1
2,24,0.000369,1
2,25,0.000229,1
2,26,0.000219,1
2,27,0.000164,1
2,28,0.001405,1
2,29,0.000108,1
2,30,0.000082,1
2,1,0.000065,2
2,2,0.000055,2
2,3,0.000054,2
2,4,0.000052,2
2,5,0.000051,2
2,6,0.000114,2
2,7,0.000189,2
2,8,0.000102,2
2,9,0.000060,2
2,10,0.000052,2
2,11,0.000055,2
2,12,0.000058,2
2,13,0.000045,2
2,14,0.000091,2
2,15,0.000082,2
2,16,0.000084,2
2,17,0.000086,2
2,18,0.000085,2
2,19,0.000114,2
2,20,0.000087,2
2,21,0.000086,2
2,22,0.000160,2
2,23,0.000083,2
2,24,0.000082,2
2,25,0.000087,2
2,26,0.000084,2
2,27,0.000089,2
2,28,0.000133,2
2,29,0.000121,2
2,30,0.000132,2
2,1,0.000103,3
2,2,0.000083,3
2,3,0.000079,3
2,4,0.000079,3
2,5,0.000078,3
2,6,0.000082,3
2,7,0.000078,3
2,8,0.000077,3
2,9,0.000078,3
2,10,0.000078,3
2,11,0.000239,3
2,12,0.000149,3
2,13,0.000153,3
2,14,0.000155,3
2,15,0.000149,3
2,16,0.000170,3
2,17,0.000152,3
2,18,0.000088,3
2,19,0.000072,3
2,20,0.000111,3
2,21,0.000115,3
2,22,0.000074,3
2,23,0.000069,3
2,24,0.000066,3
2,25,0.000066,3
2,26,0.001246,3
2,27,0.000145,3
2,28,0.000379,3
2,29,0.000088,3
2,30,0.000077,3
2,1,0.000114,4
2,2,0.000299,4
2,3,0.000283,4
2,4,0.000148,4
2,5,0.000082,4
2,6,0.000083,4
2,7,0.000083,4
2,8,0.000080,4
2,9,0.000077,4
2,10,0.000961,4
2,11,0.000088,4
2,12,0.000242,4
2,13,0.000166,4
2,14,0.000249,4
2,15,0.000249,4
2,16,0.000191,4
2,17,0.000139,4
2,18,0.000222,4
2,19,0.000082,4
2,20,0.000080,4
2,21,0.000116,4
2,22,0.000085,4
2,23,0.000113,4
2,24,0.000453,4
2,25,0.000079,4
2,26,0.000078,4
2,27,0.000074,4
2,28,0.000075,4
2,29,0.000076,4
2,30,0.000099,4
2,1,0.000150,5
2,2,0.000175,5
2,3,0.000130,5
2,4,0.000127,5
2,5,0.000148,5
2,6,0.000137,5
2,7,0.000109,5
2,8,0.000052,5
2,9,0.000114,5
2,10,0.000076,5
2,11,0.000077,5
2,12,0.000052,5
2,13,0.000046,5
2,14,0.000051,5
2,15,0.000045,5
2,16,0.000048,5
2,17,0.000044,5
2,18,0.000051,5
2,19,0.000046,5
2,20,0.000049,5
2,21,0.000062,5
2,22,0.000047,5
2,23,0.000052,5
2,24,0.000053,5
2,25,0.000044,5
2,26,0.000048,5
2,27,0.000049,5
2,28,0.000045,5
2,29,0.000044,5
2,30,0.000043,5
2,1,0.000065,6
2,2,0.000049,6
2,3,0.000073,6
2,4,0.000116,6
2,5,0.000105,6
2,6,0.000104,6
2,7,0.000094,6
2,8,0.000093,6
2,9,0.000098,6
2,10,0.000393,6
2,11,0.000114,6
2,12,0.000101,6
2,13,0.000096,6
2,14,0.000097,6
2,15,0.000118,6
2,16,0.000092,6
2,17,0.000093,6
2,18,0.000095,6
2,19,0.000057,6
2,20,0.000053,6
2,21,0.000052,6
2,22,0.000090,6
2,23,0.000097,6
2,24,0.000144,6
2,25,0.000100,6
2,26,0.000059,6
2,27,0.000053,6
2,28,0.000049,6
2,29,0.000045,6
2,30,0.000081,6
2,1,0.000052,7
2,2,0.000045,7
2,3,0.000105,7
2,4,0.000089,7
2,5,0.000087,7
2,6,0.000087,7
2,7,0.000087,7
2,8,0.000087,7
2,9,0.000092,7
2,10,0.000085,7
2,11,0.000096,7
2,12,0.000160,7
2,13,0.000052,7
2,14,0.000077,7
2,15,0.001641,7
2,16,0.000102,7
2,17,0.000081,7
2,18,0.000078,7
2,19,0.000080,7
2,20,0.000086,7
2,21,0.000080,7
2,22,0.000059,7
2,23,0.000050,7
2,24,0.000057,7
2,25,0.000052,7
2,26,0.000081,7
2,27,0.000091,7
2,28,0.000208,7
2,29,0.000053,7
2,30,0.000045,7
2,1,0.000057,8
2,2,0.000044,8
2,3,0.000042,8
2,4,0.000104,8
2,5,0.000100,8
2,6,0.000166,8
2,7,0.000046,8
2,8,0.000043,8
2,9,0.000043,8
2,10,0.000042,8
2,11,0.000110,8
2,12,0.000047,8
2,13,0.000044,8
2,14,0.000042,8
2,15,0.000105,8
2,16,0.000085,8
2,17,0.000086,8
2,18,0.000080,8
2,19,0.000083,8
2,20,0.000109,8
2,21,0.000049,8
2,22,0.000050,8
2,23,0.000038,8
2,24,0.000042,8
2,25,0.000041,8
2,26,0.000040,8
2,27,0.000044,8
2,28,0.000038,8
2,29,0.000037,8
2,30,0.000036,8
2,1,0.000048,9
2,2,0.000046,9
2,3,0.000037,9
2,4,0.000039,9
2,5,0.000040,9
2,6,0.000040,9
2,7,0.000037,9
2,8,0.000038,9
