Depth,Simulation Run,Time,Board Number
5,1,0.100449,1
5,2,0.071412,1
5,3,0.068579,1
5,4,0.062722,1
5,5,0.074338,1
5,6,0.064355,1
5,7,0.090258,1
5,8,0.066531,1
5,9,0.070224,1
5,10,0.062383,1
5,11,0.061764,1
5,12,0.074503,1
5,13,0.060316,1
5,14,0.058745,1
5,15,0.063651,1
5,16,0.084335,1
5,17,0.073736,1
5,18,0.063964,1
5,19,0.067197,1
5,20,0.099822,1
5,21,0.101687,1
5,22,0.101049,1
5,23,0.062892,1
5,24,0.120897,1
5,25,0.081294,1
5,26,0.074081,1
5,27,0.098392,1
5,28,0.116332,1
5,29,0.090582,1
5,30,0.100128,1
5,1,0.076016,2
5,2,0.061653,2
5,3,0.058454,2
5,4,0.057043,2
5,5,0.057345,2
5,6,0.061364,2
5,7,0.057703,2
5,8,0.059872,2
5,9,0.058764,2
5,10,0.059208,2
5,11,0.060873,2
5,12,0.057933,2
5,13,0.059581,2
5,14,0.057463,2
5,15,0.072637,2
5,16,0.061814,2
5,17,0.057316,2
5,18,0.059596,2
5,19,0.070113,2
5,20,0.058402,2
5,21,0.060157,2
5,22,0.063484,2
5,23,0.069053,2
5,24,0.058058,2
5,25,0.057044,2
5,26,0.057759,2
5,27,0.057902,2
5,28,0.058006,2
5,29,0.058983,2
5,30,0.058054,2
5,1,0.061158,3
5,2,0.057015,3
5,3,0.057526,3
5,4,0.057733,3
5,5,0.056806,3
5,6,0.057127,3
5,7,0.056843,3
5,8,0.057533,3
5,9,0.058822,3
5,10,0.068534,3
5,11,0.058174,3
5,12,0.065154,3
5,13,0.056830,3
5,14,0.057491,3
5,15,0.066024,3
5,16,0.057419,3
5,17,0.056830,3
5,18,0.064276,3
5,19,0.060685,3
5,20,0.057062,3
5,21,0.058289,3
5,22,0.063008,3
5,23,0.057731,3
5,24,0.057843,3
5,25,0.065940,3
5,26,0.061503,3
5,27,0.057872,3
5,28,0.059251,3
5,29,0.061417,3
5,30,0.057676,3
5,1,0.061448,4
5,2,0.057668,4
5,3,0.057269,4
5,4,0.057362,4
5,5,0.057549,4
5,6,0.058357,4
5,7,0.058392,4
5,8,0.057307,4
5,9,0.058058,4
5,10,0.057098,4
5,11,0.063568,4
5,12,0.057483,4
5,13,0.058711,4
5,14,0.056944,4
5,15,0.058486,4
5,16,0.057659,4
5,17,0.062634,4
5,18,0.065997,4
5,19,0.061111,4
5,20,0.063715,4
5,21,0.060078,4
5,22,0.058540,4
5,23,0.057366,4
5,24,0.058373,4
5,25,0.057513,4
5,26,0.057423,4
5,27,0.057109,4
5,28,0.058713,4
5,29,0.057753,4
5,30,0.058896,4
5,1,0.083697,5
5,2,0.077115,5
5,3,0.078604,5
5,4,0.077418,5
5,5,0.078626,5
5,6,0.081563,5
5,7,0.080768,5
5,8,0.079994,5
5,9,0.079748,5
5,10,0.077679,5
5,11,0.078845,5
5,12,0.080393,5
5,13,0.076819,5
5,14,0.077870,5
5,15,0.081312,5
5,16,0.079333,5
