Depth,Simulation Run,Time,Board Number
4,1,0.021633,1
4,2,0.008500,1
4,3,0.003096,1
4,4,0.002924,1
4,5,0.003454,1
4,6,0.003466,1
4,7,0.004909,1
4,8,0.002439,1
4,9,0.002205,1
4,10,0.006053,1
4,11,0.002154,1
4,12,0.003151,1
4,13,0.002729,1
4,14,0.001814,1
4,15,0.005110,1
4,16,0.002238,1
4,17,0.003387,1
4,18,0.002414,1
4,19,0.001985,1
4,20,0.002013,1
4,21,0.002228,1
4,22,0.001999,1
4,23,0.001992,1
4,24,0.004890,1
4,25,0.002818,1
4,26,0.001995,1
4,27,0.003253,1
4,28,0.003284,1
4,29,0.002455,1
4,30,0.001953,1
4,1,0.001145,2
4,2,0.000981,2
4,3,0.001099,2
4,4,0.001939,2
4,5,0.001198,2
4,6,0.001066,2
4,7,0.001077,2
4,8,0.001099,2
4,9,0.001245,2
4,10,0.000980,2
4,11,0.000995,2
4,12,0.000952,2
4,13,0.001007,2
4,14,0.003893,2
4,15,0.001149,2
4,16,0.004157,2
4,17,0.001643,2
4,18,0.001674,2
4,19,0.001195,2
4,20,0.001269,2
4,21,0.001095,2
4,22,0.000970,2
4,23,0.000956,2
4,24,0.000957,2
4,25,0.001378,2
4,26,0.002076,2
4,27,0.001503,2
4,28,0.000982,2
4,29,0.000984,2
4,30,0.001044,2
4,1,0.005261,3
4,2,0.005633,3
4,3,0.005276,3
4,4,0.006117,3
4,5,0.003651,3
4,6,0.005622,3
4,7,0.002913,3
4,8,0.002831,3
4,9,0.002792,3
4,10,0.002271,3
4,11,0.002083,3
4,12,0.001993,3
4,13,0.002006,3
4,14,0.002482,3
4,15,0.002247,3
4,16,0.002436,3
4,17,0.002580,3
4,18,0.003779,3
4,19,0.004156,3
4,20,0.004183,3
4,21,0.002518,3
4,22,0.003908,3
4,23,0.004335,3
4,24,0.002162,3
4,25,0.002061,3
4,26,0.003179,3
4,27,0.002098,3
4,28,0.002158,3
4,29,0.002010,3
4,30,0.001943,3
4,1,0.000934,4
4,2,0.000911,4
4,3,0.000947,4
4,4,0.000873,4
4,5,0.000905,4
4,6,0.001101,4
4,7,0.001052,4
4,8,0.000927,4
4,9,0.001063,4
4,10,0.001210,4
4,11,0.001418,4
4,12,0.001172,4
4,13,0.001034,4
4,14,0.001068,4
4,15,0.001001,4
4,16,0.000884,4
4,17,0.000852,4
4,18,0.000910,4
4,19,0.001051,4
4,20,0.001059,4
4,21,0.001055,4
4,22,0.001132,4
4,23,0.000976,4
4,24,0.000942,4
4,25,0.000933,4
4,26,0.000892,4
4,27,0.000930,4
4,28,0.000933,4
4,29,0.000869,4
4,30,0.000883,4
4,1,0.003369,5
4,2,0.001344,5
4,3,0.001495,5
4,4,0.001381,5
4,5,0.001406,5
4,6,0.001910,5
4,7,0.001368,5
4,8,0.001329,5
4,9,0.001386,5
4,10,0.001308,5
4,11,0.001454,5
4,12,0.001356,5
4,13,0.001297,5
4,14,0.001285,5
4,15,0.001452,5
4,16,0.001481,5
4,17,0.001718,5
4,18,0.001524,5
4,19,0.002134,5
4,20,0.002716,5
4,21,0.001533,5
4,22,0.001297,5
4,23,0.001256,5
4,24,0.001261,5
4,25,0.001368,5
4,26,0.002032,5
4,27,0.001586,5
4,28,0.002025,5
4,29,0.001457,5
4,30,0.002077,5
4,1,0.002339,6
4,2,0.002525,6
4,3,0.003386,6
4,4,0.005131,6
4,5,0.003637,6
4,6,0.001897,6
4,7,0.001911,6
4,8,0.003152,6
4,9,0.005798,6
4,10,0.002358,6
4,11,0.004122,6
4,12,0.004225,6
4,13,0.002197,6
4,14,0.001841,6
4,15,0.002585,6
4,16,0.002484,6
4,17,0.002271,6
4,18,0.002757,6
4,19,0.002028,6
4,20,0.002234,6
4,21,0.004641,6
4,22,0.001604,6
4,23,0.002059,6
4,24,0.001882,6
4,25,0.001608,6
4,26,0.001817,6
4,27,0.002593,6
4,28,0.002304,6
4,29,0.001630,6
4,30,0.001861,6
4,1,0.002039,7
4,2,0.004063,7
4,3,0.002650,7
4,4,0.003019,7
4,5,0.002252,7
4,6,0.003295,7
4,7,0.002525,7
4,8,0.001965,7
4,9,0.001830,7
4,10,0.002966,7
4,11,0.002835,7
4,12,0.002246,7
4,13,0.002440,7
4,14,0.002334,7
4,15,0.002111,7
4,16,0.002290,7
4,17,0.004348,7
4,18,0.002689,7
4,19,0.002258,7
4,20,0.002097,7
4,21,0.002310,7
4,22,0.005908,7
4,23,0.004770,7
4,24,0.004953,7
4,25,0.005967,7
4,26,0.010362,7
4,27,0.002549,7
4,28,0.011782,7
4,29,0.019514,7
4,30,0.006654,7
4,1,0.005040,8
4,2,0.013902,8
4,3,0.005874,8
4,4,0.007425,8
4,5,0.014790,8
4,6,0.015073,8
4,7,0.006624,8
4,8,0.011753,8
4,9,0.006198,8
4,10,0.004165,8
4,11,0.006259,8
4,12,0.005129,8
4,13,0.003816,8
4,14,0.003653,8
4,15,0.020295,8
4,16,0.007621,8
4,17,0.004164,8
4,18,0.006115,8
4,19,0.026297,8
4,20,0.043093,8
4,21,0.023170,8
4,22,0.001550,8
4,23,0.001437,8
4,24,0.002289,8
4,25,0.006428,8
4,26,0.004193,8
4,27,0.003260,8
4,28,0.009388,8
4,29,0.001901,8
4,30,0.001998,8
4,1,0.012814,9
4,2,0.001409,9
4,3,0.001410,9
4,4,0.006393,9
4,5,0.001732,9
4,6,0.004507,9
4,7,0.004421,9
4,8,0.002815,9
4,9,0.003363,9
4,10,0.002415,9
4,11,0.001413,9
4,12,0.004902,9
4,13,0.006037,9
4,14,0.003463,9
4,15,0.001350,9
4,16,0.001345,9
4,17,0.001939,9
4,18,0.001498,9
4,19,0.006038,9
4,20,0.002207,9
4,21,0.001428,9
4,22,0.001880,9
4,23,0.001400,9
4,24,0.001377,9
4,25,0.001369,9
4,26,0.001343,9
4,27,0.002254,9
4,28,0.001320,9
4,29,0.001346,9
4,30,0.001391,9
4,1,0.002346,10
4,2,0.002119,10
4,3,0.003166,10
4,4,0.007043,10
4,5,0.002469,10
4,6,0.002477,10
4,7,0.002976,10
4,8,0.004629,10
4,9,0.002744,10
4,10,0.002048,10
4,11,0.006990,10
4,12,0.002439,10
4,13,0.002740,10
4,14,0.001855,10
4,15,0.002080,10
4,16,0.003402,10
4,17,0.001782,10
4,18,0.003476,10
4,19,0.003483,10
4,20,0.003308,10
4,21,0.002482,10
4,22,0.002052,10
4,23,0.003926,10
4,24,0.003466,10
4,25,0.001799,10
4,26,0.001675,10
4,27,0.001958,10
4,28,0.002228,10
4,29,0.001702,10
4,30,0.003149,10
4,1,0.001758,11
4,2,0.001179,11
4,3,0.001192,11
4,4,0.001381,11
4,5,0.002390,11
4,6,0.002345,11
4,7,0.002095,11
4,8,0.001617,11
4,9,0.001286,11
4,10,0.002539,11
4,11,0.001621,11
4,12,0.001294,11
4,13,0.001366,11
4,14,0.001700,11
4,15,0.001103,11
4,16,0.001112,11
4,17,0.001054,11
4,18,0.001156,11
4,19,0.002028,11
4,20,0.002027,11
4,21,0.001722,11
4,22,0.001087,11
4,23,0.001548,11
4,24,0.002493,11
4,25,0.001210,11
4,26,0.001043,11
4,27,0.000987,11
4,28,0.000979,11
4,29,0.001066,11
4,30,0.001002,11
4,1,0.005818,12
4,2,0.003042,12
4,3,0.002193,12
4,4,0.001334,12
4,5,0.001362,12
4,6,0.002187,12
4,7,0.003060,12
4,8,0.001378,12
4,9,0.001341,12
4,10,0.001322,12
4,11,0.001946,12
4,12,0.002083,12
4,13,0.001496,12
4,14,0.001442,12
4,15,0.001392,12
4,16,0.002310,12
4,17,0.003279,12
4,18,0.001633,12
4,19,0.001369,12
4,20,0.001344,12
4,21,0.004377,12
4,22,0.003695,12
4,23,0.002298,12
4,24,0.003239,12
4,25,0.002110,12
4,26,0.001357,12
4,27,0.001355,12
4,28,0.001306,12
4,29,0.001936,12
4,30,0.006219,12
4,1,0.001973,13
4,2,0.001878,13
4,3,0.002088,13
4,4,0.002819,13
4,5,0.001937,13
4,6,0.002701,13
4,7,0.003643,13
4,8,0.002000,13
4,9,0.001783,13
4,10,0.001984,13
4,11,0.002287,13
4,12,0.001616,13
4,13,0.001792,13
4,14,0.003054,13
4,15,0.002103,13
4,16,0.001602,13
4,17,0.001576,13
4,18,0.001672,13
4,19,0.002880,13
4,20,0.002135,13
4,21,0.001854,13
4,22,0.002892,13
4,23,0.001571,13
4,24,0.001733,13
4,25,0.001598,13
4,26,0.001575,13
4,27,0.001729,13
4,28,0.001564,13
4,29,0.001553,13
4,30,0.001590,13
4,1,0.002914,14
4,2,0.002125,14
4,3,0.001582,14
4,4,0.002072,14
4,5,0.001399,14
4,6,0.001342,14
4,7,0.001199,14
4,8,0.001145,14
4,9,0.001138,14
4,10,0.001780,14
4,11,0.002610,14
4,12,0.001301,14
