Depth,Simulation Run,Time,Board Number
6,1,0.090580,1
6,2,0.048901,1
6,3,0.021437,1
6,4,0.020928,1
6,5,0.022255,1
6,6,0.024423,1
6,7,0.025153,1
6,8,0.022637,1
6,9,0.021320,1
6,10,0.025250,1
6,11,0.026905,1
6,12,0.023815,1
6,13,0.021274,1
6,14,0.026607,1
6,15,0.022835,1
6,16,0.019536,1
6,17,0.020009,1
6,18,0.023808,1
6,19,0.028852,1
6,20,0.027959,1
6,21,0.027879,1
6,22,0.046599,1
6,23,0.026421,1
6,24,0.023464,1
6,25,0.022961,1
6,26,0.026295,1
6,27,0.032909,1
6,28,0.029837,1
6,29,0.036379,1
6,30,0.025971,1
6,1,0.014978,2
6,2,0.010713,2
6,3,0.010342,2
6,4,0.009896,2
6,5,0.010153,2
6,6,0.009734,2
6,7,0.010484,2
6,8,0.009652,2
6,9,0.009795,2
6,10,0.010230,2
6,11,0.012056,2
6,12,0.012928,2
6,13,0.011012,2
6,14,0.013094,2
6,15,0.011859,2
6,16,0.012564,2
6,17,0.012229,2
6,18,0.011609,2
6,19,0.011540,2
6,20,0.011994,2
6,21,0.013755,2
6,22,0.012059,2
6,23,0.011729,2
6,24,0.016289,2
6,25,0.017635,2
6,26,0.014482,2
6,27,0.017555,2
6,28,0.016581,2
6,29,0.017515,2
6,30,0.016195,2
6,1,0.058800,3
6,2,0.031398,3
6,3,0.034124,3
6,4,0.040798,3
6,5,0.047859,3
6,6,0.047879,3
6,7,0.029369,3
6,8,0.029578,3
6,9,0.029130,3
6,10,0.029399,3
6,11,0.029962,3
6,12,0.030576,3
6,13,0.030302,3
6,14,0.029590,3
6,15,0.029246,3
6,16,0.029428,3
6,17,0.030166,3
6,18,0.029058,3
6,19,0.030580,3
6,20,0.031094,3
6,21,0.030436,3
6,22,0.031294,3
6,23,0.031711,3
6,24,0.029100,3
6,25,0.029071,3
6,26,0.031137,3
6,27,0.030411,3
6,28,0.032523,3
6,29,0.029724,3
6,30,0.033427,3
6,1,0.018533,4
6,2,0.099407,4
6,3,0.047867,4
6,4,0.027725,4
6,5,0.019354,4
6,6,0.017953,4
6,7,0.017204,4
6,8,0.016623,4
6,9,0.023164,4
6,10,0.018534,4
6,11,0.030072,4
6,12,0.023195,4
6,13,0.029067,4
6,14,0.017137,4
6,15,0.013697,4
6,16,0.013905,4
6,17,0.015733,4
6,18,0.014446,4
6,19,0.015027,4
6,20,0.022861,4
6,21,0.017642,4
6,22,0.013491,4
6,23,0.014479,4
6,24,0.013516,4
6,25,0.012999,4
6,26,0.013521,4
6,27,0.013559,4
6,28,0.013455,4
6,29,0.013211,4
6,30,0.013514,4
6,1,0.046592,5
6,2,0.044158,5
6,3,0.043607,5
6,4,0.045454,5
6,5,0.044751,5
6,6,0.044071,5
6,7,0.044467,5
6,8,0.047368,5
6,9,0.053474,5
6,10,0.049225,5
6,11,0.056085,5
6,12,0.057447,5
6,13,0.044618,5
6,14,0.043074,5
6,15,0.043177,5
6,16,0.043923,5
6,17,0.043761,5
6,18,0.043207,5
6,19,0.044555,5
6,20,0.044968,5
6,21,0.047964,5
6,22,0.043847,5
6,23,0.047037,5
6,24,0.043746,5
6,25,0.043406,5
6,26,0.044126,5
6,27,0.042994,5
6,28,0.044275,5
6,29,0.044466,5
6,30,0.046407,5
6,1,0.035770,6
6,2,0.035573,6
6,3,0.028682,6
6,4,0.028829,6
6,5,0.096885,6
6,6,0.034676,6
6,7,0.052210,6
6,8,0.035622,6
6,9,0.029879,6
6,10,0.029342,6
6,11,0.030180,6
6,12,0.028650,6
6,13,0.028887,6
6,14,0.029536,6
6,15,0.028415,6
6,16,0.029455,6
6,17,0.029603,6
6,18,0.028651,6
6,19,0.028740,6
6,20,0.028783,6
6,21,0.030735,6
6,22,0.029103,6
6,23,0.029086,6
6,24,0.028745,6
6,25,0.028708,6
6,26,0.029511,6
6,27,0.029503,6
6,28,0.029215,6
6,29,0.029800,6
6,30,0.029670,6
6,1,0.031043,7
6,2,0.027673,7
6,3,0.026856,7
6,4,0.028713,7
6,5,0.028072,7
6,6,0.026868,7
6,7,0.029478,7
6,8,0.028009,7
6,9,0.026799,7
6,10,0.027119,7
6,11,0.028553,7
6,12,0.027460,7
6,13,0.026938,7
6,14,0.026980,7
6,15,0.027741,7
6,16,0.026799,7
6,17,0.027368,7
6,18,0.026806,7
6,19,0.026725,7
6,20,0.027404,7
6,21,0.028666,7
6,22,0.027317,7
6,23,0.028377,7
6,24,0.027395,7
6,25,0.026986,7
6,26,0.027083,7
6,27,0.026654,7
6,28,0.027958,7
6,29,0.026723,7
6,30,0.027643,7
6,1,0.012119,8
6,2,0.011060,8
6,3,0.011499,8
6,4,0.011756,8
6,5,0.010957,8
6,6,0.011489,8
6,7,0.011998,8
6,8,0.013322,8
6,9,0.012231,8
6,10,0.012628,8
6,11,0.014685,8
6,12,0.013053,8
6,13,0.011922,8
6,14,0.014667,8
6,15,0.013863,8
6,16,0.015248,8
6,17,0.012214,8
6,18,0.011785,8
6,19,0.011834,8
6,20,0.012331,8
6,21,0.013027,8
6,22,0.012062,8
6,23,0.011875,8
6,24,0.012329,8
6,25,0.011478,8
6,26,0.010951,8
6,27,0.011133,8
6,28,0.011461,8
6,29,0.011045,8
6,30,0.011216,8
6,1,0.010890,9
6,2,0.010440,9
6,3,0.011529,9
6,4,0.010683,9
6,5,0.010760,9
6,6,0.010438,9
6,7,0.010567,9
6,8,0.010690,9
6,9,0.010461,9
6,10,0.010315,9
6,11,0.010698,9
6,12,0.011149,9
6,13,0.011035,9
6,14,0.010580,9
6,15,0.010766,9
6,16,0.010452,9
6,17,0.010411,9
6,18,0.010967,9
6,19,0.011355,9
6,20,0.010654,9
6,21,0.011071,9
6,22,0.013551,9
6,23,0.012848,9
6,24,0.010402,9
6,25,0.010953,9
6,26,0.010781,9
6,27,0.010474,9
6,28,0.010773,9
6,29,0.011365,9
6,30,0.010849,9
