Depth,Simulation Run,Time,Board Number
4,1,0.010906,1
4,2,0.001893,1
4,3,0.001510,1
4,4,0.001472,1
4,5,0.001432,1
4,6,0.001328,1
4,7,0.001220,1
4,8,0.001668,1
4,9,0.001143,1
4,10,0.002789,1
4,11,0.001298,1
4,12,0.000966,1
4,13,0.000940,1
4,14,0.000968,1
4,15,0.001192,1
4,16,0.001300,1
4,17,0.001232,1
4,18,0.002035,1
4,19,0.001237,1
4,20,0.001197,1
4,21,0.001617,1
4,22,0.000953,1
4,23,0.001081,1
4,24,0.001001,1
4,25,0.002476,1
4,26,0.001182,1
4,27,0.001062,1
4,28,0.001106,1
4,29,0.001088,1
4,30,0.001248,1
4,1,0.000622,2
4,2,0.000644,2
4,3,0.000536,2
4,4,0.000567,2
4,5,0.000641,2
4,6,0.000588,2
4,7,0.000529,2
4,8,0.000527,2
4,9,0.001043,2
4,10,0.000855,2
4,11,0.000689,2
4,12,0.000657,2
4,13,0.000526,2
4,14,0.000509,2
4,15,0.000505,2
4,16,0.001867,2
4,17,0.000696,2
4,18,0.000549,2
4,19,0.000562,2
4,20,0.000510,2
4,21,0.000504,2
4,22,0.000492,2
4,23,0.000501,2
4,24,0.000494,2
4,25,0.000490,2
4,26,0.000501,2
4,27,0.000484,2
4,28,0.000591,2
4,29,0.000483,2
4,30,0.000620,2
4,1,0.003194,3
4,2,0.001488,3
4,3,0.001588,3
4,4,0.001600,3
4,5,0.002944,3
4,6,0.001430,3
4,7,0.001413,3
4,8,0.001484,3
4,9,0.002284,3
4,10,0.001641,3
4,11,0.002331,3
4,12,0.002060,3
4,13,0.001831,3
4,14,0.001494,3
4,15,0.001660,3
4,16,0.001709,3
4,17,0.002257,3
4,18,0.001750,3
4,19,0.001701,3
4,20,0.001691,3
4,21,0.001757,3
4,22,0.001698,3
4,23,0.001752,3
4,24,0.003149,3
4,25,0.001616,3
4,26,0.003542,3
4,27,0.001866,3
4,28,0.001940,3
4,29,0.002010,3
4,30,0.002479,3
4,1,0.000995,4
4,2,0.001452,4
4,3,0.001778,4
4,4,0.002032,4
4,5,0.001046,4
4,6,0.001342,4
4,7,0.001007,4
4,8,0.000949,4
4,9,0.000804,4
4,10,0.001902,4
4,11,0.000934,4
4,12,0.000638,4
4,13,0.000662,4
4,14,0.000755,4
4,15,0.000786,4
4,16,0.000825,4
4,17,0.000790,4
4,18,0.000964,4
4,19,0.001187,4
4,20,0.001483,4
4,21,0.001352,4
4,22,0.001057,4
4,23,0.000945,4
4,24,0.001466,4
4,25,0.000813,4
4,26,0.000846,4
4,27,0.000941,4
4,28,0.000662,4
4,29,0.000710,4
4,30,0.001249,4
4,1,0.005959,5
4,2,0.001277,5
4,3,0.000978,5
4,4,0.000980,5
4,5,0.001031,5
4,6,0.001073,5
4,7,0.001139,5
4,8,0.000995,5
4,9,0.000978,5
4,10,0.000982,5
4,11,0.000989,5
4,12,0.000951,5
4,13,0.001026,5
4,14,0.001265,5
4,15,0.001000,5
4,16,0.001484,5
4,17,0.000978,5
4,18,0.001706,5
4,19,0.001082,5
4,20,0.000974,5
4,21,0.001008,5
4,22,0.000931,5
4,23,0.000957,5
4,24,0.000966,5
4,25,0.000965,5
4,26,0.000974,5
4,27,0.002327,5
4,28,0.001129,5
4,29,0.001721,5
4,30,0.001639,5
4,1,0.001429,6
4,2,0.001322,6
4,3,0.001258,6
4,4,0.001542,6
4,5,0.002775,6
4,6,0.001621,6
4,7,0.005520,6
4,8,0.001441,6
4,9,0.001320,6
4,10,0.001361,6
4,11,0.002434,6
4,12,0.002000,6
4,13,0.003139,6
4,14,0.001928,6
4,15,0.001856,6
4,16,0.001720,6
4,17,0.001346,6
4,18,0.001320,6
4,19,0.001432,6
4,20,0.001568,6
4,21,0.001768,6
4,22,0.001795,6
4,23,0.001386,6
4,24,0.001649,6
4,25,0.001700,6
4,26,0.015441,6
4,27,0.001326,6
4,28,0.001298,6
4,29,0.001279,6
4,30,0.001681,6
4,1,0.008403,7
4,2,0.010107,7
4,3,0.001612,7
4,4,0.002305,7
4,5,0.002769,7
4,6,0.001429,7
4,7,0.001673,7
4,8,0.001516,7
4,9,0.001482,7
4,10,0.004989,7
4,11,0.001977,7
4,12,0.001982,7
4,13,0.001543,7
4,14,0.001582,7
4,15,0.001607,7
4,16,0.002428,7
4,17,0.001600,7
4,18,0.001673,7
4,19,0.001842,7
4,20,0.005631,7
4,21,0.002614,7
4,22,0.002620,7
4,23,0.005670,7
4,24,0.005486,7
4,25,0.002582,7
4,26,0.006491,7
4,27,0.002045,7
4,28,0.002181,7
4,29,0.002475,7
4,30,0.004754,7
4,1,0.001297,8
4,2,0.001784,8
4,3,0.001058,8
4,4,0.000930,8
4,5,0.001000,8
4,6,0.001478,8
4,7,0.001090,8
4,8,0.001365,8
4,9,0.001182,8
4,10,0.000900,8
4,11,0.000870,8
4,12,0.000902,8
4,13,0.000857,8
4,14,0.000969,8
4,15,0.000942,8
4,16,0.000881,8
4,17,0.002917,8
4,18,0.002495,8
4,19,0.002702,8
4,20,0.001417,8
4,21,0.001263,8
4,22,0.000753,8
4,23,0.000742,8
4,24,0.001408,8
4,25,0.001607,8
4,26,0.000945,8
4,27,0.000734,8
4,28,0.000730,8
4,29,0.000718,8
4,30,0.000715,8
4,1,0.001064,9
4,2,0.000805,9
4,3,0.000697,9
4,4,0.000845,9
4,5,0.002096,9
4,6,0.001327,9
4,7,0.000808,9
4,8,0.000726,9
4,9,0.000718,9
4,10,0.000703,9
4,11,0.000692,9
4,12,0.000687,9
4,13,0.000682,9
4,14,0.001423,9
4,15,0.000964,9
4,16,0.000714,9
4,17,0.001296,9
4,18,0.000764,9
4,19,0.000714,9
4,20,0.000710,9
4,21,0.001269,9
4,22,0.001975,9
4,23,0.001421,9
4,24,0.001206,9
4,25,0.001253,9
4,26,0.001003,9
4,27,0.000842,9
4,28,0.000796,9
4,29,0.000786,9
4,30,0.000718,9
4,1,0.001273,10
4,2,0.001160,10
4,3,0.001118,10
4,4,0.001098,10
4,5,0.001111,10
4,6,0.001658,10
4,7,0.001109,10
4,8,0.001144,10
4,9,0.001115,10
4,10,0.001098,10
4,11,0.001182,10
4,12,0.001171,10
4,13,0.001205,10
4,14,0.001129,10
4,15,0.001132,10
4,16,0.001220,10
4,17,0.001149,10
4,18,0.001197,10
4,19,0.001664,10
4,20,0.001581,10
4,21,0.001422,10
4,22,0.001532,10
4,23,0.001343,10
4,24,0.001195,10
4,25,0.001399,10
4,26,0.001155,10
4,27,0.001236,10
4,28,0.001274,10
4,29,0.001223,10
4,30,0.001332,10
4,1,0.001284,11
4,2,0.001263,11
4,3,0.002107,11
4,4,0.001492,11
4,5,0.003053,11
4,6,0.001615,11
4,7,0.001060,11
4,8,0.000775,11
4,9,0.000707,11
4,10,0.000708,11
4,11,0.000865,11
4,12,0.000742,11
4,13,0.001461,11
4,14,0.000915,11
4,15,0.000754,11
4,16,0.000812,11
4,17,0.000873,11
4,18,0.000795,11
4,19,0.000834,11
4,20,0.000744,11
4,21,0.000969,11
4,22,0.000953,11
4,23,0.000935,11
4,24,0.000914,11
4,25,0.000844,11
4,26,0.000773,11
4,27,0.000788,11
4,28,0.000836,11
4,29,0.000709,11
4,30,0.000752,11
4,1,0.003171,12
4,2,0.007725,12
4,3,0.010249,12
4,4,0.003815,12
4,5,0.007679,12
4,6,0.002739,12
4,7,0.004657,12
4,8,0.002522,12
4,9,0.001907,12
4,10,0.010306,12
4,11,0.009441,12
4,12,0.019875,12
4,13,0.002553,12
4,14,0.001314,12
4,15,0.001683,12
4,16,0.001752,12
4,17,0.006570,12
4,18,0.000961,12
4,19,0.001609,12
4,20,0.000956,12
4,21,0.001146,12
4,22,0.000969,12
4,23,0.003646,12
4,24,0.010478,12
4,25,0.001363,12
4,26,0.001043,12
4,27,0.001119,12
4,28,0.001821,12
4,29,0.004190,12
4,30,0.001042,12
4,1,0.001335,13
4,2,0.001323,13
4,3,0.001573,13
4,4,0.001675,13
4,5,0.001521,13
4,6,0.001314,13
4,7,0.001289,13
4,8,0.001425,13
4,9,0.001638,13
4,10,0.003358,13
4,11,0.001795,13
4,12,0.002912,13
4,13,0.004895,13
4,14,0.001553,13
4,15,0.001463,13
4,16,0.001563,13
4,17,0.001616,13
4,18,0.003821,13
4,19,0.001824,13
4,20,0.001640,13
4,21,0.001606,13
4,22,0.001572,13
4,23,0.003136,13
4,24,0.001630,13
4,25,0.001441,13
4,26,0.001504,13
4,27,0.001431,13
4,28,0.004185,13
4,29,0.002323,13
4,30,0.001679,13
4,1,0.001344,14
4,2,0.001270,14
4,3,0.001237,14
4,4,0.001185,14
4,5,0.001158,14
4,6,0.001401,14
4,7,0.002178,14
4,8,0.001757,14
4,9,0.001892,14
4,10,0.001553,14
4,11,0.002003,14
4,12,0.001968,14
4,13,0.001560,14
4,14,0.001336,14
4,15,0.001020,14
4,16,0.000924,14
4,17,0.000993,14
4,18,0.001016,14
