Depth,Simulation Run,Time,Board Number
3,1,0.013009,1
3,2,0.003821,1
3,3,0.002902,1
3,4,0.004514,1
3,5,0.002159,1
3,6,0.002053,1
3,7,0.001943,1
3,8,0.002405,1
3,9,0.003515,1
3,10,0.004317,1
3,11,0.003428,1
3,12,0.003691,1
3,13,0.006950,1
3,14,0.002841,1
3,15,0.002131,1
3,16,0.001990,1
3,17,0.002281,1
3,18,0.002290,1
3,19,0.002749,1
3,20,0.002380,1
3,21,0.001945,1
3,22,0.003997,1
3,23,0.003429,1
3,24,0.003001,1
3,25,0.002125,1
3,26,0.002566,1
3,27,0.002614,1
3,28,0.001769,1
3,29,0.001748,1
3,30,0.001714,1
3,1,0.001826,2
3,2,0.001767,2
3,3,0.001930,2
3,4,0.001996,2
3,5,0.001685,2
3,6,0.001699,2
3,7,0.003362,2
3,8,0.001698,2
3,9,0.001391,2
3,10,0.001119,2
3,11,0.001158,2
3,12,0.001269,2
3,13,0.001191,2
3,14,0.001835,2
3,15,0.001237,2
3,16,0.001145,2
3,17,0.001111,2
3,18,0.001131,2
3,19,0.001148,2
3,20,0.001214,2
3,21,0.002625,2
3,22,0.001251,2
3,23,0.001326,2
3,24,0.003334,2
3,25,0.001225,2
3,26,0.001290,2
3,27,0.001257,2
3,28,0.001176,2
3,29,0.001357,2
3,30,0.001296,2
3,1,0.001246,3
3,2,0.001156,3
3,3,0.001156,3
3,4,0.001137,3
3,5,0.001674,3
3,6,0.001553,3
3,7,0.001402,3
3,8,0.001299,3
3,9,0.001370,3
3,10,0.001419,3
3,11,0.001384,3
3,12,0.001386,3
3,13,0.001375,3
3,14,0.001349,3
3,15,0.001693,3
3,16,0.002581,3
3,17,0.001553,3
3,18,0.001691,3
3,19,0.003036,3
3,20,0.001387,3
3,21,0.001297,3
3,22,0.001306,3
3,23,0.001320,3
3,24,0.001365,3
3,25,0.001179,3
3,26,0.003417,3
3,27,0.001205,3
3,28,0.001271,3
3,29,0.001219,3
3,30,0.001188,3
3,1,0.001287,4
3,2,0.001329,4
3,3,0.001214,4
3,4,0.001304,4
3,5,0.001900,4
3,6,0.001398,4
3,7,0.001259,4
3,8,0.001431,4
3,9,0.001482,4
3,10,0.001557,4
3,11,0.001466,4
3,12,0.001258,4
3,13,0.001357,4
3,14,0.001216,4
3,15,0.001246,4
3,16,0.001328,4
3,17,0.003187,4
3,18,0.001538,4
3,19,0.001193,4
3,20,0.001189,4
3,21,0.001172,4
3,22,0.001192,4
3,23,0.001195,4
3,24,0.001234,4
3,25,0.001164,4
3,26,0.001308,4
3,27,0.001259,4
3,28,0.001855,4
3,29,0.001567,4
3,30,0.001228,4
3,1,0.009938,5
3,2,0.008352,5
3,3,0.006333,5
3,4,0.008324,5
3,5,0.011501,5
3,6,0.008080,5
3,7,0.010284,5
3,8,0.007318,5
3,9,0.012576,5
3,10,0.006081,5
3,11,0.005608,5
3,12,0.006027,5
3,13,0.002500,5
3,14,0.005955,5
3,15,0.002316,5
3,16,0.002205,5
3,17,0.002430,5
3,18,0.002608,5
3,19,0.002927,5
3,20,0.002580,5
3,21,0.002476,5
3,22,0.001710,5
3,23,0.001652,5
3,24,0.005481,5
3,25,0.003155,5
3,26,0.002178,5
3,27,0.002789,5
3,28,0.002184,5
3,29,0.001667,5
3,30,0.002065,5
3,1,0.001801,6
3,2,0.002152,6
3,3,0.003391,6
3,4,0.001542,6
3,5,0.001437,6
3,6,0.001869,6
3,7,0.001418,6
3,8,0.003267,6
3,9,0.001391,6
3,10,0.001660,6
3,11,0.015924,6
3,12,0.002583,6
3,13,0.001709,6
3,14,0.002474,6
3,15,0.004047,6
3,16,0.001826,6
3,17,0.004250,6
3,18,0.001306,6
3,19,0.001568,6
3,20,0.001188,6
3,21,0.001184,6
3,22,0.001490,6
3,23,0.002760,6
3,24,0.001136,6
3,25,0.001501,6
3,26,0.001885,6
3,27,0.004269,6
3,28,0.001588,6
3,29,0.001281,6
3,30,0.001998,6
3,1,0.006390,7
3,2,0.001665,7
3,3,0.002907,7
3,4,0.001605,7
3,5,0.001701,7
3,6,0.001852,7
3,7,0.002209,7
3,8,0.001924,7
3,9,0.001269,7
3,10,0.001143,7
3,11,0.001285,7
3,12,0.003199,7
3,13,0.003016,7
3,14,0.009493,7
3,15,0.001930,7
3,16,0.005380,7
3,17,0.003244,7
3,18,0.004735,7
3,19,0.007420,7
3,20,0.005130,7
3,21,0.004655,7
3,22,0.003067,7
3,23,0.003794,7
3,24,0.003412,7
